STT
騎師	冠	亞	季	殿	第五	總出賽次數
莫雷拉	55	34	29	28	23	238
潘頓	37	42	24	23	22	243
何澤堯	27	15	17	17	14	206
巴度	19	19	17	18	22	219
田泰安	15	31	33	27	21	232
周俊樂	14	26	16	13	9	154
賀銘年	14	10	16	12	19	185
梁家俊	13	11	18	18	17	196
蔡明紹	13	10	10	13	11	168
潘明輝	11	14	11	15	10	177
史卓豐	10	10	12	13	16	141
郭能	9	11	15	12	15	174
波健士	8	7	11	9	18	163
薛恩	8	3	7	18	9	135
彭國年	5	6	5	5	6	126
楊明綸	2	7	6	6	9	151
巫顯東	1	2	1	4	4	100
馬雅	1	0	4	2	2	32
黎海榮	1	0	1	2	2	63
陳嘉熙	0	5	3	2	6	53
黃皓楠	0	3	3	4	4	105
黃俊	0	2	1	4	3	96

STA
騎師	冠	亞	季	殿	第五	總出賽次數
田泰安	11	10	6	3	3	52
潘頓	9	4	3	4	6	45
莫雷拉	7	8	5	7	6	47
周俊樂	6	3	6	3	3	39
賀銘年	4	2	3	5	5	30
梁家俊	4	3	3	4	2	43
潘明輝	3	4	1	4	0	41
蔡明紹	3	2	6	3	6	35
郭能	3	0	6	3	2	27
薛恩	2	3	1	1	0	25
巫顯東	2	1	1	0	0	21
巴度	2	1	2	2	4	36
何澤堯	1	3	6	2	6	40
陳嘉熙	1	3	1	2	1	19
波健士	1	2	0	3	4	34
彭國年	1	1	1	2	2	27
馬雅	1	0	0	1	0	8
史卓豐	0	3	4	6	2	34
楊明綸	0	1	3	1	3	35
黃皓楠	0	1	0	2	0	18
黎海榮	0	0	1	2	0	20
黃俊	0	0	0	0	2	18

HVT
騎師	冠	亞	季	殿	第五	總出賽次數
莫雷拉	46	34	25	19	7	201
潘頓	44	35	23	22	20	211
田泰安	26	18	22	19	31	206
巴度	23	23	30	24	14	201
梁家俊	14	14	4	15	13	157
何澤堯	14	12	21	11	21	172
周俊樂	13	13	19	13	6	129
潘明輝	11	12	6	11	15	147
波健士	10	9	6	12	6	145
郭能	9	15	9	11	17	138
蔡明紹	6	4	12	9	14	120
史卓豐	6	12	7	18	9	105
薛恩	5	4	7	7	8	96
楊明綸	5	3	5	6	16	129
賀銘年	2	12	15	15	13	161
馬雅	2	1	6	3	3	28
陳嘉熙	1	4	3	2	3	61
黎海榮	1	2	1	3	1	72
彭國年	0	4	9	7	7	83
黃皓楠	0	2	1	2	7	79
黃俊	0	1	4	2	5	56
巫顯東	0	1	2	3	4	72

