ALL
騎師	冠	亞	季	殿	第五	總出賽次數	所贏獎金
莫雷拉	108	76	59	54	36	486	$153,896,500
潘頓	90	81	50	49	48	499	$130,834,250
田泰安	52	59	61	49	55	490	$92,077,000
巴度	44	43	49	44	40	456	$69,443,750
何澤堯	42	30	44	30	41	418	$83,897,750
周俊樂	33	42	41	29	18	322	$42,617,750
梁家俊	31	28	25	37	32	396	$41,708,000
潘明輝	25	30	18	30	25	365	$37,964,750
蔡明紹	22	16	28	25	31	323	$32,398,250
郭能	21	26	30	26	34	339	$30,676,750
賀銘年	20	24	34	32	37	376	$33,697,000
波健士	19	18	17	24	28	342	$28,244,500
史卓豐	16	25	23	37	27	280	$30,578,250
薛恩	15	10	15	26	17	256	$23,618,500
楊明綸	7	11	14	13	28	315	$15,061,750
彭國年	6	11	15	14	15	236	$12,542,000
馬雅	4	1	10	6	5	68	$4,892,000
巫顯東	3	4	4	7	8	193	$3,904,500
陳嘉熙	2	12	7	6	10	133	$6,343,250
黎海榮	2	2	3	7	3	155	$2,324,500
黃皓楠	0	6	4	8	11	202	$3,547,250
黃俊	0	3	5	6	10	170	$2,156,500

