20210411_9
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	10	路路醒(E053)	莫雷拉	羅富全	123	1076	3	-	[5][5][6][4][1]	1:46.30	2.5
2	3	加州十大(E045)	田泰安	告東尼	130	1068	12	1-3/4	[11][11][12][8][2]	1:46.58	19
3	8	天外天(B435)	潘明輝	徐雨石	122	1108	1	2	[13][13][11][9][3]	1:46.61	23
4	9	繽紛遊戲(C013)	薛恩	羅富全	124	1072	6	4-1/4	[2][2][3][3][4]	1:46.97	10
5	6	全才(B213)	何澤堯	韋達	128	1080	11	5-1/2	[12][12][13][13][5]	1:47.16	9.8
6	4	精算齊同(B102)	波健士	呂健威	129	1208	2	5-3/4	[3][4][4][5][6]	1:47.21	80
7	12	巴基之友(B370)	巴度	蘇偉賢	119	1055	4	5-3/4	[1][1][1][1][7]	1:47.23	5.3
8	11	神龍駒(B108)	蔡明紹	告東尼	120	1048	7	8	[9][8][7][11][8]	1:47.59	15
9	5	北極光(D105)	潘頓	賀賢	128	1087	10	9-1/2	[4][3][2][2][9]	1:47.81	5.4
10	1	扎西德勒(C084)	周俊樂	韋達	126	1177	8	11-1/4	[8][6][5][10][10]	1:48.11	40
11	2	狂舞派(B404)	陳嘉熙	容天鵬	125	1074	13	11-1/2	[7][10][10][7][11]	1:48.15	73
12	13	其利斷金(B426)	黃皓楠	葉楚航	115	1152	5	15-1/2	[6][7][8][6][12]	1:48.77	97

20210411_8
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	速遞奇兵(D449)	莫雷拉	蔡約翰	133	1202	8	-	[1][1][1]	1:08.59	1.2
2	5	必長勝(E240)	周俊樂	文家良	124	1246	4	1/2	[2][3][2]	1:08.67	9.1
 3	3	犀利時光(E206)	田泰安	苗禮德	133	1134	1	2	[8][8][3]	1:08.91	56
4	1	莫浪求(D200)	潘頓	告東尼	133	1201	5	2-1/4	[9][9][4]	1:08.93	9.3
5	7	都柏名駒(C436)	梁家俊	文家良	120	1238	2	2-1/4	[5][5][5]	1:08.96	21
6	6	超音鼠(E046)	蔡明紹	羅富全	121	1017	10	2-1/2	[10][10][6]	1:08.99	41
7	4	佳景福星(C454)	巴度	葉楚航	131	1162	9	3-1/4	[3][2][7]	1:09.11	25
8	8	鑽飛龍(D111)	馬雅	容天鵬	119	1224	6	3-1/2	[6][6][8]	1:09.14	26
9	9	勝賢(D169)	楊明綸	方嘉柏	115	1065	3	4-1/4	[7][7][9]	1:09.28	38

20210411_7
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	大眾開心(D029)	巴度	羅富全	132	1095	12	-	[8][6][6][1]	1:21.90	11
2	9	果然友(C313)	莫雷拉	方嘉柏	121	1157	2	1/2	[3][2][1][2]	1:22.00	4.6
3	1	將俠(D501)	田泰安	告東尼	133	1087	1	1-1/4	[5][5][3][3]	1:22.12	6.7
4	7	深愛(A088)	馬雅	葉楚航	123	1058	10	2	[13][12][10][4]	1:22.22	16
5	3	弗雷(E047)	潘頓	沈集成	131	1166	3	3	[4][7][7][5]	1:22.38	2.6
6	5	歡樂小子(S235)	黎海榮	文家良	125	1292	9	3-3/4	[12][13][12][6]	1:22.51	34
7	6	霹靂狂龍(D003)	潘明輝	賀賢	121	1011	8	4-3/4	[7][3][4][7]	1:22.66	9.8
8	10	遨遊之星(C098)	周俊樂	容天鵬	116	1231	13	5-1/4	[1][1][2][8]	1:22.72	11
9	11	創高峰(D136)	賀銘年	苗禮德	119	1158	14	6-3/4	[14][14][14][9]	1:22.97	17
10	12	有力(E017)	巫顯東	鄭俊偉	116	1055	4	7-1/4	[11][11][8][10]	1:23.06	257
11	8	鑽飾貔貅(E112)	史卓豐	姚本輝	122	1051	7	7-1/2	[10][10][11][11]	1:23.09	170
12	14	銀亮之星(B027)	黃皓楠	蘇偉賢	113	1089	5	7-1/2	[6][8][9][12]	1:23.11	149
13	13	奔達之星(D244)	梁家俊	葉楚航	118	1144	11	9-1/4	[2][4][5][13]	1:23.37	81

20210411_6
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	4	合約精神(E004)	潘頓	羅富全	126	1204	11	-	[5][5][4][1]	1:21.85	6.7
 2	7	星夢帝國(C407)	田泰安	葉楚航	123	1120	9	2	[3][1][1][2]	1:22.15	6.1
3	1	綠色勇駿(D140)	莫雷拉	方嘉柏	133	1143	2	2	[9][8][6][3]	1:22.16	3.6
4	13	生生勝勝(C110)	馬雅	姚本輝	118	998	6	2-1/2	[13][11][8][4]	1:22.26	10
5	14	魅力漢子(C412)	波健士	蔡約翰	115	1124	14	3-1/4	[2][3][5][5]	1:22.38	58
6	12	打鐵趁熱(C133)	蔡明紹	葉楚航	118	1083	1	3-1/4	[6][4][3][6]	1:22.39	6.2
7	9	綠續爆發(E104)	史卓豐	姚本輝	122	1046	13	3-3/4	[12][13][11][7]	1:22.45	50
8	8	萬市之光(E009)	巴度	蘇偉賢	122	1092	3	4-3/4	[7][10][13][8]	1:22.61	6.4
9	10	紅磚勇士(C304)	潘明輝	賀賢	120	1062	12	5-3/4	[8][7][7][9]	1:22.76	18
10	6	紅褲之王(E262)	何澤堯	大衛希斯	124	1082	4	5-3/4	[10][12][10][10]	1:22.78	50
11	11	春風得意(C309)	梁家俊	丁冠豪	120	1068	10	6-1/4	[11][9][9][11]	1:22.83	14
12	3	小鳥敖翔(B069)	黎海榮	文家良	129	1218	7	6-1/2	[1][2][2][12]	1:22.87	53
13	2	宇宙英雄(E141)	周俊樂	徐雨石	125	1117	8	13	[14][14][14][13]	1:23.94	144

20210411_5
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	5	好運寶馬(E157)	巴度	文家良	129	1091	7	-	[8][8][1]	1:09.46	5.2
2	8	勝利才子(E091)	潘明輝	賀賢	127	1234	11	頸位	[10][9][2]	1:09.50	6.9
 3	7	聲勢(D120)	莫雷拉	蔡約翰	129	1103	3	3/4	[2][2][3]	1:09.57	3.7
4	1	新威力(D463)	蔡明紹	蘇保羅	133	1134	5	3/4	[3][3][4]	1:09.58	14
5	4	勇寶駒(E238)	周俊樂	苗禮德	122	1118	1	2-3/4	[4][4][5]	1:09.89	63
6	3	神舟時代(D507)	田泰安	丁冠豪	129	1162	4	4-1/4	[7][5][6]	1:10.14	4.9
7	11	旅遊達人(E170)	馬雅	鄭俊偉	127	1024	2	5-3/4	[6][7][7]	1:10.38	18
8	6	勝靈之駒(E018)	梁家俊	姚本輝	129	1146	10	6-1/4	[12][10][8]	1:10.47	85
9	9	名牌效應(E030)	潘頓	呂健威	128	1051	12	8-1/4	[1][1][9]	1:10.79	4.4
10	10	向上游(E036)	黎海榮	蘇偉賢	127	1126	8	8-3/4	[5][6][10]	1:10.87	236
11	12	驍鎰(D439)	楊明綸	韋達	118	1207	9	9-1/4	[11][12][11]	1:10.93	68

20210411_4
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	8	龍寶寶(E098)	史卓豐	蔡約翰	125	1050	5	-	[13][9][1]	0:56.98	7.9
2	1	開心好友(B466)	黃皓楠	姚本輝	130	1132	4	3/4	[9][8][2]	0:57.10	44
 3	12	鼓浪陽光(E063)	田泰安	呂健威	123	1145	1	2-1/4	[12][11][3]	0:57.32	124
4	10	金馬玉堂(E327)	莫雷拉	方嘉柏	125	1111	10	2-1/4	[3][1][4]	0:57.33	4
5	2	四條煙(D365)	薛恩	大衛希斯	132	1007	7	2-1/2	[8][7][5]	0:57.36	19
6	4	地通拿(D346)	馬雅	霍利時	131	1082	12	2-1/2	[2][6][6]	0:57.39	103
7	13	海豚星(C332)	巫顯東	徐雨石	119	1162	14	2-3/4	[1][2][7]	0:57.40	17
8	3	各取所需(C474)	周俊樂	韋達	125	1079	3	2-3/4	[10][13][8]	0:57.42	10
9	6	潮州大兄(E188)	巴度	容天鵬	125	1009	6	3-3/4	[14][12][9]	0:57.58	11
10	5	霸勝(A270)	賀銘年	葉楚航	126	1274	9	5	[6][5][10]	0:57.76	11
11	14	快一步(D454)	潘明輝	蘇保羅	118	1153	8	5-3/4	[5][4][11]	0:57.90	116
12	9	常山猛虎(D484)	潘頓	沈集成	125	1212	11	5-3/4	[4][3][12]	0:57.90	2.4
13	11	勁進(D195)	黃俊	高伯新	119	1134	13	8-1/4	[7][10][13]	0:58.29	179

20210411_3
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	神期大帝(D107)	周俊樂	告東尼	123	1051	12	-	[4][3][3][1]	1:22.28	9.5
2	5	功夫茶(C136)	梁家俊	賀賢	129	1126	13	1/2	[6][6][5][2]	1:22.37	6.4
3	13	得賞(B288)	潘頓	葉楚航	125	1045	3	1-3/4	[7][9][6][3]	1:22.57	4.9
4	12	辣得驕(D159)	田泰安	呂健威	126	974	14	2-1/4	[12][10][10][4]	1:22.62	9.4
5	9	無極戰士(D073)	波健士	姚本輝	126	1161	9	2-3/4	[10][11][12][5]	1:22.73	13
6	1	常勝心(D044)	潘明輝	羅富全	129	1202	4	3	[1][1][1][6]	1:22.77	25
7	4	天意(V417)	莫雷拉	蘇保羅	129	1179	2	3-3/4	[8][7][7][7]	1:22.89	3.9
8	8	福星高照(D407)	史卓豐	容天鵬	127	1212	10	4-1/4	[9][12][11][8]	1:22.95	15
9	14	合金皇(D287)	何澤堯	丁冠豪	124	1067	1	4-1/4	[3][4][4][9]	1:22.95	10
10	6	美滿將來(D115)	巴度	徐雨石	129	1052	8	4-1/4	[11][8][9][10]	1:22.95	19
11	10	老撾之光(C291)	巫顯東	何良	123	1006	6	7-1/4	[5][5][8][11]	1:23.43	55
12	11	友盈有款(B182)	楊明綸	大衛希斯	126	1070	11	8	[13][14][14][12]	1:23.57	39
13	7	紅寶金堅(D313)	賀銘年	苗禮德	127	1074	7	10-1/4	[2][2][2][13]	1:23.90	170

20210411_2
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	3	吉利大勝(D122)	潘頓	高伯新	132	1167	11	-	[5][3][1]	0:57.41	6.1
2	1	遨遊千里(C363)	梁家俊	容天鵬	133	1149	12	頸位	[2][1][2]	0:57.47	3.9
3	5	八心之威(D285)	周俊樂	韋達	125	1113	13	2	[1][2][3]	0:57.72	8.9
4	2	椰子糖(D437)	何澤堯	徐雨石	133	1051	14	3-1/2	[3][5][4]	0:57.96	11
5	8	華麗傳承(D080)	潘明輝	葉楚航	127	1151	2	3-3/4	[13][14][5]	0:58.03	82
6	12	坪山新星(C242)	蔡明紹	蘇保羅	119	1005	1	4-1/2	[14][11][6]	0:58.13	15
7	10	鑲藍旗(C167)	陳嘉熙	文家良	116	1120	10	4-1/2	[6][4][7]	0:58.15	8.6
8	14	幸運勝駒(C514)	巴度	丁冠豪	114	1167	9	6-1/2	[9][7][8]	0:58.45	27
