dt	raceno	馬匹編號	6次近績	馬名	烙號	負磅	騎師	可能超磅	檔位	練馬師	國際評分	評分	評分+/-	排位體重	排位體重+/-	最佳時間	馬齡	分齡讓磅	性別	今季獎金	優先參賽次序	配備	馬主	父系	母系	進口類別	meter
2021-06-09	1	1	2/7/11/8/7/1	喜盈運	V337	133	梁家俊		3	何良	-	39	+2		-	2.16.00	8	-	閹	592500	+ * 1	V/TT	鄧浩基	Delightful Choice	Missun	PP	2200
2021-06-09	1	2	3/5/5/9/3/7	神州福星	B326	132	莫雷拉		7	羅富全	-	38	0		-	2.15.82	7	-	閹	517500	+ 1	B/TT	歡欣喜悅團體	Excelebration	Lausanne	PP	2200
2021-06-09	1	3	5/6/2/12/7/8	威力爆發	D304	131	郭能		10	高伯新	-	37	-2		-		4	-	閹	191250	+ 1	CP/XB	談立德	Exceed And Excel	Callistan	ISG	2200
2021-06-09	1	4	3/4/1/1/4/11	總統之星	C170	130	潘頓		1	沈集成	-	36	0		-		5	-	閹	1031250	+ 1	B/TT	章日源先生及夫人	Dundeel	Exotic Escape	PPG	2200
2021-06-09	1	5	6/3/3/5/14/4	無極戰士	D073	127	巴度		8	姚本輝	-	33	-1		-		4	-	閹	243750	* 1	V	善德之友團體	Deep Field	Charlety Star	PPG	2200
2021-06-09	1	6	9/6/11/9/4/5	緣份	C535	125	周俊樂(-5)		2	韋達	-	31	-2		-		5	-	閹	80000	* 1	CP-/SR/XB	黃華康	Camacho	Viva Diva	ISG	2200
2021-06-09	1	7	7/10/14/8/9/8	志聰明	C319	123	班德禮		9	文家良	-	29	-2		-	2.19.53	5	-	閹	757500	+ 1	CP/TT	馬天聰、馬天明與羅志賢	Fastnet Rock	Pear Tart	PP	2200
2021-06-09	1	8	6/8/3/5/6/9	賞心星	C251	120	田泰安		12	方嘉柏	-	26	-2		-	2.16.45	5	-	閹	660000	+ 1	PC-	關健文、關敏婷與關瀚明	Niagara	Montjeu Way	PPG	2200
2021-06-09	1	9	12/12/6/12/10/10	榮華煌昌	D252	119	楊明綸		11	丁冠豪	-	25	-4		-		5	-	閹	0	+ 1	B	劉富榮	Thewayyouare	Tesoro	PP	2200
2021-06-09	1	10	9/2/4/9/3/9	為善聚樂	A249	116	賀銘年	1	5	鄭俊偉	-	22	0		-	2.16.38	7	-	閹	341250	+ 1	H-/B	為善聚樂賽馬團體	Thewayyouare	Vera Mont	PP	2200
2021-06-09	1	11	7/10/3/4/6/6	靈鋒	A245	115	潘明輝(-2)		4	苗禮德	-	21	-2		-	2.17.03	7	-	閹	243750	+ 1	B/H/XB	陳有悅與陳昌海	Rip Van Winkle	Gwyllion	PP	2200
2021-06-09	1	12	11/3/7/7/3/7	競駿飛鷹	B292	113	蔡明紹		6	霍利時	-	15	-2		-	2.16.37	6	-	閹	172500	+ 1	B/TT	競駿會有限公司	Niagara	Divine Miss Em	PPG	2200
2021-06-09	2	1	9/11/12/7/9/1	日日靚	D070	132	楊明綸		11	方嘉柏	-	58	-2		-	1.09.95	5	-	閹	1800000	2	B/TT	鄭彼德與鄭俊豪	All American	Mixed Emotions	PPG	1200
2021-06-09	2	2	1/6/3/6/4/1	陽明高高	B132	131	周俊樂(-5)		4	呂健威	-	57	+8		-	1.09.70	6	-	閹	1605000	2	B/TT	黃僑福	Azamour	Love Blooms	PPG	1200
2021-06-09	2	3	5/3/6/11/6/9	旋里多彩	B469	128	田泰安		2	徐雨石	-	54	-1		-	1.09.40	5	-	閹	720000	3	B/TT2	程里全與周旋	Denman	London Rebel	PP	1200
2021-06-09	2	4	-	富存鉅星	E248	126	黎海榮		5	何良	-	52	-		-		4	-	閹	0	+ 1	H1/PC1	無極限團體	Rock N Pop	Vera de Bosset	PPG	1200
2021-06-09	2	5	-	包裝長勝	E373	126	潘頓		1	沈集成	-	52	-		-		3	-	閹	0	+ 1	TT1	李文俊	Reliable Man	Espresso Cavallo	PPG	1200
2021-06-09	2	6	2	話贏就贏	E289	126	史卓豐		9	丁冠豪	-	52	0		-	1.09.99	3	-	閹	220000	1	H	張滙	Delago Deluxe	Avail	PPG	1200
2021-06-09	2	7	7/13	蟲草老爺	E259	124	梁家俊		12	文家良	-	50	-2		-	1.10.65	3	-	閹	0	* 1		賞心悅目團體	Kermadec	Seesawing	PPG	1200
2021-06-09	2	8	3/2/3/5/10/3	勇眼光	D487	123	莫雷拉		3	大衛希斯	-	49	0		-	1.10.25	3	-	閹	600000	2	CP	譚榮根	Love Conquers All	Choose The Moment	PPG	1200
2021-06-09	2	9	12/4/11/7/3/8	馬功臣	A296	122	賀銘年		6	蘇偉賢	-	48	-2		-	1.09.64	7	-	閹	370000	* 2	B/E/TT	孖士打團體	Magic Albert	Kate Of Clonmel	PP	1200
2021-06-09	2	10	9/4/9/8/8/13	福滿寶	D118	122	巴度		8	賀賢	-	48	0		-	1.09.70	5	-	閹	805000	+ 1	H/XB	周福安先生及夫人與周偉權	Harbour Watch	An Ghalanta	PPG	1200
2021-06-09	2	11	12/8/12/9/7/9	傳奇	V357	120	彭國年		7	高伯新	-	46	-3		-	1.09.73	8	-	閹	52500	1	B/TT	雷聲傳	High Chaparral	Sarasota	PP	1200
2021-06-09	2	12	7/4/2/5/2/7	妙算騰飛	C519	118	潘明輝(-2)		10	羅富全	-	44	-2		-	1.10.09	4	-	閹	315000	2	B/H	鄭榮波	Smart Missile	High Above	PPG	1200
2021-06-09	3	1	2/2/2/4/7/9	電訊超班	E140	133	田泰安		7	徐雨石	-	59	+2		-	1.09.46	4	-	閹	720000	1	TT	張敬山	Smart Missile	Ocelot	PP	1200
2021-06-09	3	2	11/5/9/5/10/7	英明勇將	T348	133	黃皓楠(-3)		1	呂健威	-	59	-2		-	1.09.86	9	-	閹	1350000	* 3	B	全心意團體	Churchill Downs	Caralowe	PP	1200
2021-06-09	3	3	4/6/7/6/11/8	多姿多財	D125	132	周俊樂(-5)		8	羅富全	-	58	0		-	1.09.57	4	-	閹	682500	1		王建廷	Zacinto	Marzia	PPG	1200
