STT
練馬師	冠	亞	季	殿	第五	出馬總數
蔡約翰	38	15	9	18	20	189
沈集成	22	20	14	7	11	184
羅富全	21	19	16	18	21	195
呂健威	20	15	18	20	18	189
告東尼	19	22	21	16	27	253
方嘉柏	18	22	23	14	19	188
姚本輝	15	11	7	20	8	176
蘇偉賢	14	14	14	13	13	163
容天鵬	14	13	14	9	11	148
葉楚航	14	13	13	19	18	170
賀賢	11	15	12	12	16	139
丁冠豪	11	12	10	8	10	143
大衛希斯	11	7	9	11	10	147
韋達	9	23	19	14	12	183
蘇保羅	8	9	13	13	9	125
苗禮德	6	8	9	17	9	150
徐雨石	5	8	13	8	5	185
高伯新	5	2	11	3	7	68
文家良	3	11	11	14	12	159
鄭俊偉	2	7	6	6	7	130
何良	1	4	1	3	4	65
霍利時	1	2	4	7	4	79

STA
練馬師	冠	亞	季	殿	第五	出馬總數
苗禮德	7	7	1	3	2	31
羅富全	6	2	4	5	3	34
方嘉柏	5	4	6	4	4	44
呂健威	5	5	4	4	4	45
沈集成	5	3	3	5	6	34
葉楚航	4	1	4	5	1	38
告東尼	3	6	3	2	4	42
鄭俊偉	3	1	8	3	4	39
賀賢	3	0	1	0	2	23
蘇偉賢	3	0	0	3	4	31
徐雨石	3	5	3	2	1	44
姚本輝	2	6	2	0	1	21
蔡約翰	2	3	7	4	5	34
文家良	2	3	2	3	6	38
霍利時	2	1	2	3	4	27
韋達	2	1	0	3	1	30
蘇保羅	2	3	2	2	2	23
丁冠豪	1	3	3	1	2	38
高伯新	1	1	0	1	0	18
何良	0	1	2	3	1	20
容天鵬	0	1	2	1	1	24
大衛希斯	0	0	0	3	0	22

HVT
練馬師	冠	亞	季	殿	第五	出馬總數
方嘉柏	31	26	25	21	9	194
沈集成	21	18	12	16	11	143
呂健威	21	14	21	12	11	149
羅富全	19	14	14	13	20	149
告東尼	17	21	13	13	9	158
蔡約翰	14	14	12	14	11	125
徐雨石	12	14	11	13	17	180
文家良	12	10	9	12	11	142
葉楚航	11	11	13	6	13	136
丁冠豪	10	3	8	8	11	122
賀賢	9	6	8	10	12	119
何良	9	3	4	8	10	87
霍利時	8	15	12	16	17	171
韋達	8	11	15	9	10	130
姚本輝	8	9	8	11	5	105
蘇保羅	8	6	7	5	9	98
苗禮德	7	9	8	4	8	94
蘇偉賢	6	13	17	15	13	143
高伯新	6	9	11	12	10	90
大衛希斯	5	4	4	9	12	101
容天鵬	3	9	5	8	10	103
鄭俊偉	0	4	6	7	4	100

