ALL
練馬師	冠	亞	季	殿	第五	出馬總數	所贏獎金
蔡約翰	54	32	28	36	36	348	$92328500
方嘉柏	54	52	54	39	32	426	$99123750
沈集成	48	41	29	28	28	361	$63095500
羅富全	46	35	34	36	44	378	$65940750
呂健威	46	34	43	36	33	383	$91111250
告東尼	39	49	37	31	40	453	$81169000
葉楚航	29	25	30	30	32	344	$33173000
姚本輝	25	26	17	31	14	302	$39443750
蘇偉賢	23	27	31	31	30	337	$28853000
賀賢	23	21	21	22	30	281	$26237250
丁冠豪	22	18	21	17	23	303	$29092500
苗禮德	20	24	18	24	19	275	$29719750
徐雨石	20	27	27	23	23	409	$25301750
韋達	19	35	34	26	23	343	$44944750
蘇保羅	18	18	22	20	20	246	$21686000
容天鵬	17	23	21	18	22	275	$22193000
文家良	17	24	22	29	29	339	$20976000
大衛希斯	16	11	13	23	22	270	$20714000
高伯新	12	12	22	16	17	176	$20668750
霍利時	11	18	18	26	25	277	$16403500
何良	10	8	7	14	15	172	$8276250
鄭俊偉	5	12	20	16	15	269	$10042000

